iter	Passed	Remaining
399	42068	63102
400	42188	63019
401	42290	62909
402	42383	62786
403	42470	62653
404	42548	62509
405	42625	62363
406	42736	62267
407	42838	62158
408	42940	62048
409	43031	61923
410	43114	61786
411	43208	61666
412	43298	61540
413	43398	61429
414	43486	61300
415	43578	61177
416	43675	61061
417	43764	60935
418	43860	60818
419	43992	60750
420	44088	60635
421	44200	60539
422	44301	60429
423	44416	60338
424	44512	60222
425	44596	60089
426	44677	59953
427	44774	59838
428	44874	59728
429	44977	59620
430	45084	59519
431	45184	59409
432	45279	59292
433	45378	59180
434	45478	59069
435	45582	58963
436	45689	58862
437	45782	58744
438	45883	58634
439	45992	58535
440	46083	58413
441	46184	58305
442	46289	58201
443	46413	58120
444	46552	58060
445	46670	57972
446	46758	57846
447	46843	57717
448	46941	57605
449	47034	57486
450	47121	57361
451	47211	57238
452	47318	57136
453	47417	57026
454	47500	56896
455	47590	56775
456	47678	56650
457	47772	56534
458	47865	56416
459	47960	56301
460	48055	56186
461	48147	56067
462	48257	55970
463	48353	55856
464	48462	55757
465	48566	55653
466	48667	55545
467	48778	55448
468	48869	55329
469	48979	55231
470	49079	55123
471	49173	55008
472	49270	54895
473	49368	54784
474	49462	54668
475	49546	54543
476	49634	54421
477	49735	54313
478	49824	54193
479	49914	54073
480	50011	53962
481	50098	53840
482	50188	53721
483	50289	53614
484	50383	53500
485	50529	53440
486	50636	53339
487	50727	53222
488	50820	53106
489	50909	52987
490	51007	52877
491	51091	52753
492	51177	52630
493	51262	52507
494	51357	52395
495	51447	52277
496	51532	52154
497	51693	52108
498	52055	52264
499	52571	52571
500	52762	52551
501	52939	52517
502	53053	52420
503	53148	52304
504	53307	52252
505	53425	52158
506	53514	52037
507	53606	51918
508	53728	51828
509	53826	51715
510	53933	51611
511	54056	51522
512	54148	51403
513	54243	51288
514	54335	51170
515	54430	51054
516	54518	50933
517	54626	50830
518	54740	50732
519	54866	50646
520	54999	50565
521	55109	50464
522	55200	50345
523	55311	50245
524	55401	50125
525	55528	50039
526	55663	49959
527	55779	49863
528	55891	49763
529	55987	49649
530	56085	49537
531	56193	49433
532	56283	49314
533	56377	49198
534	56463	49075
535	56582	48981
536	56693	48880
537	56797	48774
538	56900	48666
539	57037	48587
540	57125	48466
541	57223	48355
542	57306	48230
543	57398	48113
544	57488	47995
545	57568	47868
546	57661	47752
547	57746	47630
548	57832	47509
549	57925	47393
550	58012	47273
551	58095	47149
552	58172	47022
553	58263	46905
554	58360	46793
555	58458	46682
556	58558	46573
557	58665	46469
558	58764	46359
559	58855	46243
560	58968	46145
561	59059	46028
562	59161	45921
563	59256	45808
564	59348	45693
565	59448	45584
566	59543	45471
567	59652	45369
568	59751	45260
569	59849	45149
570	59954	45044
571	60049	44932
572	60133	44811
573	60217	44691
574	60298	44568
575	60398	44459
576	60486	44342
577	60574	44225
578	60661	44107
579	60763	44000
580	60881	43905
581	60976	43794
582	61088	43694
583	61177	43578
584	61258	43456
585	61355	43346
586	61451	43235
587	61552	43128
588	61653	43021
589	61756	42915
590	61851	42804
591	61952	42696
592	62052	42588
593	62146	42476
594	62239	42364
595	62336	42254
596	62434	42146
597	62531	42036
598	62646	41938
599	62744	41829
600	62851	41726
601	62952	41619
602	63087	41535
603	63180	41423
604	63286	41319
605	63378	41206
606	63475	41097
607	63596	41003
608	63697	40895
609	63807	40795
610	63965	40724
611	64066	40617
612	64164	40508
613	64271	40405
614	64382	40304
615	64477	40193
616	64580	40088
617	64703	39994
618	64805	39888
619	64912	39784
620	64999	39669
621	65107	39567
622	65192	39450
623	65276	39333
624	65363	39218
625	65465	39112
626	65581	39013
627	65675	38903
628	65764	38789
629	65846	38671
630	65939	38560
631	66044	38456
632	66153	38354
633	66247	38243
634	66351	38139
635	66454	38033
636	66541	37919
637	66636	37809
638	66770	37721
639	66871	37615
640	66976	37511
641	67074	37402
642	67164	37290
643	67256	37178
644	67358	37073
645	67455	36964
646	67548	36854
647	67640	36743
648	67731	36631
649	67827	36522
650	67922	36413
651	68020	36305
652	68117	36197
653	68203	36082
654	68322	35986
655	68422	35880
656	68516	35770
657	68610	35660
658	68706	35552
659	68802	35443
660	68914	35343
661	69007	35233
662	69104	35125
663	69203	35018
664	69299	34910
665	69391	34799
666	69482	34689
667	69582	34582
668	69694	34482
669	69788	34373
670	69889	34267
671	69985	34159
672	70095	34058
673	70189	33949
674	70299	33847
675	70383	33734
676	70490	33631
677	70576	33518
678	70685	33416
679	70777	33307
680	70898	33210
681	70988	33100
682	71086	32993
683	71182	32885
684	71293	32784
685	71381	32673
686	71471	32562
687	71570	32456
688	71662	32347
689	71751	32235
690	71839	32125
691	71928	32014
692	72013	31902
693	72107	31793
694	72212	31690
695	72302	31580
696	72389	31469
697	72494	31365
698	72591	31259
699	72692	31153
700	72788	31046
701	72873	30934
702	72954	30821
703	73057	30717
704	73168	30616
705	73264	30509
706	73369	30406
707	73461	30297
708	73550	30188
709	73649	30082
710	73744	29975
711	73846	29870
712	73941	29763
713	74030	29653
714	74128	29547
715	74218	29438
716	74313	29331
717	74398	29220
718	74485	29110
719	74578	29002
720	74684	28899
721	74780	28793
722	74876	28686
723	74966	28578
724	75072	28475
725	75170	28370
726	75264	28263
727	75345	28150
728	75434	28042
729	75507	27927
730	75584	27814
731	75681	27708
732	75765	27598
733	75856	27490
734	75945	27381
735	76022	27268
736	76103	27157
737	76187	27047
738	76269	26936
739	76360	26829
740	76439	26717
741	76541	26614
742	76644	26510
743	76748	26408
744	76856	26306
745	76978	26209
746	77066	26101
747	77170	25998
748	77266	25893
749	77361	25787
750	77463	25683
751	77572	25582
752	77664	25475
753	77775	25375
754	77894	25277
755	77981	25168
756	78082	25064
757	78189	24963
758	78287	24858
759	78393	24755
760	78489	24650
761	78585	24545
762	78698	24445
763	78806	24343
764	78908	24239
765	79017	24138
766	79119	24034
767	79211	23928
768	79321	23827
769	79430	23725
770	79529	23621
771	79621	23515
772	79719	23410
773	79820	23306
774	79924	23203
775	80024	23099
776	80119	22994
777	80211	22888
778	80311	22784
779	80404	22678
780	80491	22570
781	80595	22467
782	80708	22367
783	80803	22262
784	80906	22159
785	80996	22052
786	81093	21947
787	81190	21843
788	81298	21741
789	81393	21636
790	81501	21534
791	81592	21428
792	81671	21318
793	81753	21210
794	81838	21103
795	81921	20994
796	82015	20889
797	82112	20785
798	82202	20679
799	82300	20575
800	82385	20467
801	82475	20361
802	82566	20256
803	82656	20150
804	82737	20042
805	82817	19933
806	82930	19833
807	83021	19727
808	83119	19623
809	83215	19519
810	83303	19413
811	83402	19309
812	83483	19202
813	83580	19098
814	83672	18993
815	83761	18887
816	83850	18781
817	83947	18677
818	84023	18569
819	84120	18465
820	84204	18358
821	84300	18254
822	84401	18151
823	84498	18048
824	84592	17943
825	84698	17842
826	84783	17735
827	84879	17631
828	84987	17530
829	85101	17430
830	85204	17328
831	85295	17223
832	85394	17120
833	85483	17014
834	85568	16908
835	85666	16805
836	85758	16700
837	85856	16597
838	85972	16497
839	86087	16397
840	86189	16295
841	86301	16194
842	86393	16089
843	86501	15988
844	86588	15883
845	86677	15778
846	86773	15674
847	86862	15569
848	86949	15464
849	87035	15359
850	87131	15255
851	87223	15151
852	87318	15047
853	87401	14942
854	87511	14841
855	87642	14743
856	87761	14643
857	87848	14539
858	87932	14433
859	88020	14328
860	88110	14224
861	88208	14121
862	88292	14016
863	88384	13912
864	88470	13807
865	88563	13703
866	88652	13599
867	88745	13495
868	88837	13391
869	88921	13287
870	89008	13182
871	89089	13077
872	89185	12974
873	89267	12869
874	89353	12764
875	89441	12660
876	89530	12556
877	89622	12453
878	89705	12348
879	89788	12243
880	89874	12139
881	89961	12035
882	90063	11933
883	90153	11830
884	90263	11729
885	90365	11627
886	90453	11523
887	90546	11420
888	90639	11317
889	90727	11213
890	90816	11110
891	90911	11007
892	91009	10904
893	91101	10801
894	91195	10698
895	91285	10595
896	91371	10491
897	91450	10387
898	91539	10284
899	91648	10183
900	91739	10080
901	91829	9977
902	91911	9873
903	92014	9771
904	92097	9667
905	92179	9563
906	92262	9460
907	92339	9355
908	92422	9252
909	92512	9149
910	92592	9045
911	92701	8944
912	92795	8842
913	92903	8741
914	92995	8638
915	93104	8537
916	93197	8435
917	93275	8331
918	93368	8229
919	93471	8127
920	93596	8028
921	93703	7927
922	93809	7825
923	93899	7723
924	93999	7621
925	94103	7520
926	94218	7419
927	94315	7317
928	94419	7216
929	94507	7113
930	94609	7011
931	94696	6909
932	94799	6807
933	94913	6706
934	95009	6604
935	95089	6501
936	95178	6399
937	95259	6296
938	95340	6193
939	95431	6091
940	95544	5990
941	95654	5889
942	95759	5788
943	95862	5686
944	95964	5585
945	96060	5483
946	96155	5381
947	96254	5279
948	96357	5178
949	96449	5076
950	96535	4973
951	96624	4871
952	96742	4771
953	96835	4669
954	96949	4568
955	97044	4466
956	97129	4364
957	97214	4262
958	97336	4161
959	97421	4059
960	97507	3957
961	97598	3855
962	97686	3753
963	97800	3652
964	97920	3551
965	98030	3450
966	98117	3348
967	98216	3246
968	98304	3144
969	98387	3042
970	98474	2941
971	98577	2839
972	98656	2737
973	98762	2636
974	98868	2535
975	98959	2433
976	99062	2332
977	99157	2230
978	99252	2129
979	99347	2027
980	99453	1926
981	99550	1824
982	99658	1723
983	99756	1622
984	99857	1520
985	99967	1419
986	100052	1317
987	100140	1216
988	100235	1114
989	100330	1013
990	100420	911
991	100513	810
992	100627	709
993	100708	607
994	100816	506
995	100913	405
996	101019	303
997	101108	202
998	101202	101
999	101297	0
