iter	Logloss
0	0.6745142396
1	0.6571931326
2	0.6401729197
3	0.6239451247
4	0.6091843848
5	0.5950428268
6	0.5817282324
7	0.5694598964
8	0.55790783
9	0.5464326295
10	0.5357693102
11	0.5258518681
12	0.5158141674
13	0.5065033867
14	0.4980542243
15	0.489884454
16	0.4822569274
17	0.4747485609
18	0.4676151376
19	0.4616365272
20	0.4553863742
21	0.449117602
22	0.4433990112
23	0.4380157262
24	0.4326943524
25	0.4277941403
26	0.4226082405
27	0.4182209887
28	0.4140605478
29	0.4096965157
30	0.4061922009
31	0.4030423132
32	0.3998033153
33	0.3962601646
34	0.3935036679
35	0.3903412766
36	0.3872926566
37	0.3844595801
38	0.3817266496
39	0.3791988339
40	0.3768215069
41	0.3745871111
42	0.3725859737
43	0.3703972622
44	0.3683247065
45	0.366309018
46	0.364826815
47	0.3633441842
48	0.361580812
49	0.359952856
50	0.358222998
51	0.3565881339
52	0.3549808649
53	0.3536572093
54	0.3522499064
55	0.3510948999
56	0.3498697975
57	0.3485285358
58	0.3472728424
59	0.3464161922
60	0.3453410273
61	0.3442370324
62	0.3432555468
63	0.3422530957
64	0.3413188703
65	0.3403096578
66	0.3394647859
67	0.3387147277
68	0.3377833181
69	0.336795439
70	0.3360393224
71	0.3351622833
72	0.3345192338
73	0.3339349631
74	0.3333343696
75	0.3324059118
76	0.3315911552
77	0.3310969286
78	0.3304379079
79	0.3297304994
80	0.3290054264
81	0.3281806621
82	0.3273824145
83	0.3268981335
84	0.3263268717
85	0.3257373628
86	0.3251690056
87	0.3245139657
88	0.3238511323
89	0.323317994
90	0.322831877
91	0.3222766379
92	0.3217330894
93	0.3212878205
94	0.3208256908
95	0.3204613729
96	0.3200811414
97	0.3196253895
98	0.3191543782
99	0.3187438925
100	0.3184562408
101	0.3180034728
102	0.3176323708
103	0.3172888556
104	0.3169594658
105	0.3165094519
106	0.3161235892
107	0.3157305203
108	0.3154348919
109	0.3150814345
110	0.3146802526
111	0.3143761303
112	0.3140130052
113	0.3137187374
114	0.3133466679
115	0.3129186159
116	0.3126150437
117	0.3123221057
118	0.3120921679
119	0.3117882822
120	0.3114916508
121	0.3112190684
122	0.3109380813
123	0.3105653301
124	0.3103222634
125	0.3100249398
126	0.3097846235
127	0.3094838644
128	0.3092221631
129	0.3089679131
130	0.3087623056
131	0.3085378307
132	0.3083013292
133	0.3080672101
134	0.3078761464
135	0.3076453013
136	0.3073598
137	0.3072285241
138	0.3070548502
139	0.3068341132
140	0.3065787327
141	0.3063927253
142	0.3062045611
143	0.3060050907
144	0.3057834306
145	0.3055488935
146	0.3053726087
147	0.3051843877
148	0.3049755495
149	0.304817153
150	0.3046653873
151	0.3044534483
152	0.3042621863
153	0.3040700759
154	0.3038641996
155	0.3036952649
156	0.3035289369
157	0.3033353569
158	0.3031569166
159	0.3030257776
160	0.3028545385
161	0.3026964548
162	0.3025455507
163	0.3023639208
164	0.3021840436
165	0.3020225589
166	0.3018712499
167	0.3017439095
168	0.3015754323
169	0.3014323092
170	0.3012384656
171	0.3010996196
172	0.3009515538
173	0.3007817711
174	0.300656215
175	0.3005186605
176	0.3003843313
177	0.3002503903
178	0.3001563457
179	0.3000260257
180	0.2999158678
181	0.2997637796
182	0.2996270968
183	0.2994789498
184	0.2993724937
185	0.2992467703
186	0.2991111669
187	0.298984556
188	0.2988646069
189	0.2987401479
190	0.2986137386
191	0.2985014167
192	0.2983854876
193	0.2982613308
194	0.2980966868
195	0.2979833586
196	0.297847377
197	0.2977402792
198	0.2976055661
199	0.2974841576
200	0.2973872487
201	0.2972512166
202	0.2971470468
203	0.2970294711
204	0.2969190775
205	0.2968186034
206	0.2967116337
207	0.2966299291
208	0.2964993853
209	0.2963513896
210	0.2962342269
211	0.2961084156
212	0.2959723527
213	0.2959021812
